Serial,Category,Actor,ActorDescription,InteractsWithSerials,RelationshipType,Tensions,Relevance
1,Allied Nation,Canada,"Government of Canada, Canadian Armed Forces, NORAD partner, Op CARIBBE maritime contributor",10;12;15;18,"NORAD integration; maritime patrols; Op CARIBBE","Legal constraints on strikes; differing risk tolerance","Binational defense partner; NORAD/IAMD and counter-TCO operations."
2,Partner Nation,Mexico,"Government & Security Forces responsible for border security, precursor chemical flows, migration control",8;15;22;28,"Border flows; precursor chemicals; TCO corridors","Corruption; political reluctance; sovereignty sensitivity","Key border and TCO corridor state affecting homeland security."
3,Partner Nation,Colombia,"Government & Military engaged in counter-ELN and counter-FARC-D operations; major U.S. partner",23;24;18;15,"ELN/FARC-D sanctuary; border security","Limited control of frontier; regime hostility","Frontline partner vs ELN/FARC-D and regional stability anchor."
4,Partner Nation,Brazil,"Largest South American military/political actor; Amazon and Atlantic security influencer",18;28;31,"Regional diplomacy; Amazon border; PRC influence","PRC investment leverage; political swings","Major regional power affecting alignment and PRC competition."
5,Partner Nation,CaribbeanStates,"Bahamas, Jamaica, Trinidad—critical maritime chokepoints and SOF access points",15;22;28,"Maritime chokepoints; TCO routes","Weak governance; PRC port influence","Control maritime chokepoints impacting TCO flows and access."
6,Multilateral Org,OAS,"Organization of American States—hemispheric political body for legitimacy and collective action",1;2;3;4;5;18;28,"Regional political coordination","Blocked consensus by Venezuela/PRC-aligned members","Provides hemispheric legitimacy for multilateral actions."
7,Multilateral Org,IADB,"Inter-American Defense Board—military advisory and coordination mechanism",1;2;3;4;5;18,"Inter-American military forum","Limited authority; political friction","Supports multinational defense planning and interoperability."
8,US System Actor,DHS,"Dept. of Homeland Security—border, aviation, and maritime security integration",2;10;15;18;22,"Border security; migration flows; interdictions","Title 10 vs Title 6 friction; intel barriers","Integrates domestic homeland security with WHEMCOM mission."
9,US System Actor,FBI,"Federal Bureau of Investigation—counterintelligence and counterterrorism for proxies (Hezbollah/IRGC)",25;26;18,"CT/CI vs Hezbollah, IRGC, regime intel","Jurisdiction limits; host-nation cooperation","Primary CT/CI actor targeting foreign proxy networks."
10,US System Actor,USCoastGuard,"Title 14 maritime law enforcement for interdiction, counter-drug operations, and MDA",1;2;5;15;22,"Maritime interdiction; TCO disruption","ROE limits; lack of partner capacity","Primary force for maritime interdiction in approaches."
